Date,Open,High,Low,Close*,Adj Close**,Volume
18/12/2023,37330.14,37393.45,37284.85,37306.02,37306.02,292120000
15/12/2023,37194.5,37347.6,37092.02,37305.16,37305.16,788160000
14/12/2023,37115.63,37287.5,37051.52,37248.35,37248.35,455820000
13/12/2023,36601.8,37094.85,36523.59,37090.24,37090.24,354790000
12/12/2023,36442.1,36596.11,36373.22,36577.94,36577.94,292770000
11/12/2023,36254.33,36416.18,36231.19,36404.93,36404.93,342490000
8/12/2023,36084.82,36296.2,36061.64,36247.87,36247.87,295180000
7/12/2023,36124.17,36164.17,36021.95,36117.38,36117.38,287280000
6/12/2023,36183.73,36292.58,36024.25,36054.43,36054.43,283240000
5/12/2023,36135.65,36164.68,36010.85,36124.56,36124.56,309250000
4/12/2023,36089.38,36238.18,36029.69,36204.44,36204.44,329450000
1/12/2023,35914.45,36264.85,35914.45,36245.5,36245.5,321840000
30/11/2023,35596.57,35970.7,35592.22,35950.89,35950.89,435540000
29/11/2023,35436.8,35579.13,35405.89,35430.42,35430.42,299330000
28/11/2023,35332.13,35518.67,35307.73,35416.98,35416.98,256210000
27/11/2023,35376.44,35410.37,35280.57,35333.47,35333.47,258340000
24/11/2023,35299.9,35399.44,35299.9,35390.15,35390.15,117040000
22/11/2023,35189.33,35315.2,35155.8,35273.03,35273.03,237290000
21/11/2023,35104.84,35118.04,35038.44,35088.29,35088.29,271120000
20/11/2023,34932.49,35227.48,34907.98,35151.04,35151.04,331050000
17/11/2023,34964.82,35028.22,34882.82,34947.28,34947.28,334820000
16/11/2023,34868.03,35022.46,34818.03,34945.47,34945.47,435540000
15/11/2023,34906.72,35051.1,34868.48,34991.21,34991.21,347790000
14/11/2023,34581.2,34931.01,34581.2,34827.7,34827.7,328050000
13/11/2023,34259.25,34405.84,34205.81,34337.87,34337.87,245090000
10/11/2023,34020.82,34310.36,33905.62,34283.1,34283.1,302460000
9/11/2023,34163.71,34167.54,33859.77,33891.94,33891.94,325400000
8/11/2023,34185.92,34252.75,33996.2,34112.27,34112.27,280330000
7/11/2023,34075.65,34206.98,34026.72,34152.6,34152.6,281790000
6/11/2023,34092.61,34167.26,33989.72,34095.86,34095.86,265570000
3/11/2023,33988.83,34163.63,33946.6,34061.32,34061.32,311000000
2/11/2023,33457.82,33852.96,33450.03,33839.08,33839.08,304350000
1/11/2023,33081.87,33337.15,33010.85,33274.58,33274.58,307570000
31/10/2023,33029.11,33070.28,32787.12,33052.87,33052.87,306950000
30/10/2023,32537.54,33002.97,32537.54,32928.96,32928.96,298640000
27/10/2023,32782.4,32787.56,32327.2,32417.59,32417.59,376970000
26/10/2023,33017.17,33105.03,32743.99,32784.3,32784.3,379880000
25/10/2023,33203.53,33267.91,32989.72,33035.93,33035.93,355690000
24/10/2023,33089.64,33272.19,32988.43,33141.38,33141.38,359230000
23/10/2023,32993.02,33234.85,32892.19,32936.41,32936.41,342500000
20/10/2023,33365.27,33425.77,33118.12,33127.28,33127.28,325530000
19/10/2023,33669.52,33852.39,33368.58,33414.17,33414.17,304320000
18/10/2023,33960.25,33991.51,33598.64,33665.08,33665.08,285410000
17/10/2023,33869.84,34147.63,33854.7,33997.65,33997.65,281010000
16/10/2023,33832.42,34088.98,33832.42,33984.54,33984.54,270060000
13/10/2023,33733.34,33957.72,33551.58,33670.29,33670.29,306340000
12/10/2023,33845.65,33863.8,33455.6,33631.14,33631.14,289160000
11/10/2023,33822.2,33882.55,33612.25,33804.87,33804.87,256560000
10/10/2023,33683.41,33898.22,33604.32,33739.3,33739.3,255640000
9/10/2023,33259.84,33631.81,33253.69,33604.65,33604.65,228760000
6/10/2023,33040.7,33557.69,32846.94,33407.58,33407.58,332990000
5/10/2023,33099.23,33174.38,32941.56,33119.57,33119.57,277250000
4/10/2023,33034.18,33156.45,32873.23,33129.55,33129.55,287030000
3/10/2023,33318.84,33398.54,32916.2,33002.38,33002.38,293450000
2/10/2023,33455.5,33511.91,33219.56,33433.35,33433.35,275630000
29/09/2023,33882.61,33893.68,33407.45,33507.5,33507.5,319830000
